nome_atual,novo_nome
PLANO/GAZE LINARE 01 PLANO.jpg,"11577 - TECIDO VOIL GAZE LINARE PLUS 01 BRANCO 3,30L - PLANO.jpg"
PLANO/GAZE LINARE 02 PLANO.jpg,"11578 - TECIDO VOIL GAZE LINARE PLUS 02 OFF WHITE 3,30L - PLANO.jpg"
PLANO/GAZE LINARE 03 PLANO.jpg,"11579 - TECIDO VOIL GAZE LINARE PLUS 03 TRIGO 3,30L - PLANO.jpg"
PLANO/GAZE LINARE 04 PLANO.jpg,"11580 - TECIDO VOIL GAZE LINARE PLUS 04 GRAY 3,30L - PLANO.jpg"
PLANO/GAZE LINARE 05 PLANO.jpg,"11581 - TECIDO VOIL GAZE LINARE PLUS 05 VERDE 3,30L - PLANO.jpg"
PLANO/GAZE LINARE 06 PLANO.jpg,"11582 - TECIDO VOIL GAZE LINARE PLUS 06 CROMIO 3,30L - PLANO.jpg"
TEXTURA/GAZE LINARE 01 TEXTURA.jpg,"11577 - TECIDO VOIL GAZE LINARE PLUS 01 BRANCO 3,30L - TEXTURA.jpg"
TEXTURA/GAZE LINARE 02 TEXTURA.jpg,"11578 - TECIDO VOIL GAZE LINARE PLUS 02 OFF WHITE 3,30L - TEXTURA.jpg"
TEXTURA/GAZE LINARE 03 TEXTURA.jpg,"11579 - TECIDO VOIL GAZE LINARE PLUS 03 TRIGO 3,30L - TEXTURA.jpg"
TEXTURA/GAZE LINARE 04 TEXTURA.jpg,"11580 - TECIDO VOIL GAZE LINARE PLUS 04 GRAY 3,30L - TEXTURA.jpg"
TEXTURA/GAZE LINARE 05 TEXTURA.jpg,"11581 - TECIDO VOIL GAZE LINARE PLUS 05 VERDE 3,30L - TEXTURA.jpg"
TEXTURA/GAZE LINARE 06 TEXTURA.jpg,"11582 - TECIDO VOIL GAZE LINARE PLUS 06 CROMIO 3,30L - TEXTURA.jpg"
